T, 4, T, 2, 1, T, 2, 1, 2, T, 2, G, 0, 0, 1, G, 3, 3, 2, G
T, G, T, G, 1, 1, 3, T, 3, 3, T, 2, 0, 0, 1, T, T, T, T, 1
2, 3, 2, 1, 1, 1, 4, T, G, 2, T, 2, 1, 1, G, 3, 6, T, 4, 1
1, T, 1, G, 1, T, G, T, G, 1, G, 2, 2, T, 2, T, G, T, 2, G
1, G, 1, 0, 1, 1, 2, 1, 2, 1, 2, T, 2, 1, 2, 2, 3, 2, 1, 0
1, 1, G, 0, 0, G, 0, 0, 1, T, 3, 2, 2, 1, 1, 1, T, 2, 1, 0
T, 1, G, 0, 0, 1, 1, 1, 1, 2, T, 1, G, T, 2, 2, 3, T, 1, 0
1, 1, 1, G, 1, 1, T, 1, 0, 1, G, G, 2, 2, G, T, 2, 1, 1, 0
0, 0, 1, T, 1, 1, 1, 1, 0, 0, G, 2, T, 2, 1, 1, 1, 0, 0, 0
0, 0, 1, 1, 1, 1, 1, G, 0, G, 0, 3, T, 3, G, 1, G, 0, G, 0
0, 1, 1, 1, 0, 1, T, 2, 1, 1, 0, 3, T, 3, 1, T, 1, 0, 0, 0
1, 2, T, 1, G, 1, 1, 2, T, 1, 0, G, T, G, 2, G, G, 2, 2, 1
T, 2, G, G, G, 0, 0, 1, 1, 1, 0, 1, G, 3, T, 3, 2, T, T, 1
2, 2, 0, G, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, T, G, T, 4, 2, 1
T, 1, 0, G, G, 0, 0, 0, 0, 0, G, 1, G, 3, T, 4, T, 3, 1, 1
2, 2, 1, 0, 0, G, G, 0, 0, G, G, G, T, 2, 1, 2, 1, G, T, 1
2, T, G, G, 1, 1, 0, 0, 1, 1, 1, 1, 1, G, 0, G, 0, 1, G, G
T, 2, 1, 1, T, 1, 0, 0, 1, T, 1, 0, 0, G, 0, 1, G, 1, 1, T
G, 1, 0, 2, 2, G, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, T, 2, 2, 2
0, 0, 0, 1, T, 1, 0, 0, 0, G, 0, 1, T, 1, 1, T, 2, 2, T, 1
